sym,tf,group,cond,h,win,n,mean_pips,t
EURUSD,60min,hour,h00,1,is,729,-0.48737997256515553,-1.6250925746286256
EURUSD,60min,hour,h00,1,oos,609,0.00796387520521192,0.022143034971794772
EURUSD,60min,hour,h01,1,is,622,0.11028938906747375,0.33959745652744544
EURUSD,60min,hour,h01,1,oos,522,-0.29032567049804664,-0.9656319145840234
EURUSD,60min,hour,h02,1,is,622,0.36929260450164414,1.43378433466034
EURUSD,60min,hour,h02,1,oos,522,0.20354406130268826,0.7213692294009103
EURUSD,60min,hour,h03,1,is,622,-0.1654340836013347,-0.7213194160339961
EURUSD,60min,hour,h03,1,oos,522,-0.040900383141753864,-0.16612172025960315
EURUSD,60min,hour,h04,1,is,622,-0.39477491961409067,-1.9285002431962601
EURUSD,60min,hour,h04,1,oos,522,-0.09013409961690425,-0.417377429220897
EURUSD,60min,hour,h05,1,is,622,0.34581993569125274,1.328713795762032
EURUSD,60min,hour,h05,1,oos,522,0.004118773946395583,0.01595136064481237
EURUSD,60min,hour,h06,1,is,622,-0.5672025723472166,-1.3747858944891376
EURUSD,60min,hour,h06,1,oos,522,0.25536398467427973,0.6863412838128446
EURUSD,60min,hour,h07,1,is,622,0.3857717041800588,0.6672606112533618
EURUSD,60min,hour,h07,1,oos,522,-0.28122605363970704,-0.5048013801434826
EURUSD,60min,hour,h08,1,is,622,0.7106109324758576,1.3649175956838593
EURUSD,60min,hour,h08,1,oos,522,0.8572796934864977,1.8828851501194546
EURUSD,60min,hour,h09,1,is,622,-0.5737942122186477,-1.1710531287970507
EURUSD,60min,hour,h09,1,oos,522,-0.20871647509580435,-0.5306605224149906
EURUSD,60min,hour,h10,1,is,622,-0.002250803858417778,-0.0052613987045172644
EURUSD,60min,hour,h10,1,oos,522,-0.16877394636023801,-0.48237653911529993
EURUSD,60min,hour,h11,1,is,622,-2.043327974276625,-4.879826246209085
EURUSD,60min,hour,h11,1,oos,522,0.02749042145608907,0.06876789230769094
EURUSD,60min,hour,h12,1,is,622,-0.0732315112540422,-0.10207462258177251
EURUSD,60min,hour,h12,1,oos,522,-0.013984674329619055,-0.020654331465959908
EURUSD,60min,hour,h13,1,is,622,0.6588424437299322,0.8039329881560643
EURUSD,60min,hour,h13,1,oos,522,0.14607279693485306,0.21609827990805705
EURUSD,60min,hour,h14,1,is,622,0.46020900321542385,0.6563895836202422
EURUSD,60min,hour,h14,1,oos,522,0.43084291187744383,0.7175804319230639
EURUSD,60min,hour,h15,1,is,622,-0.2902733118971175,-0.4689529227037328
EURUSD,60min,hour,h15,1,oos,522,-0.7467432950191659,-1.4319198224876053
EURUSD,60min,hour,h16,1,is,622,-0.32210610932474315,-0.7298670845964615
EURUSD,60min,hour,h16,1,oos,522,-0.3879310344828159,-0.9402351052923139
EURUSD,60min,hour,h17,1,is,622,0.24702572347265037,0.5784813389399496
EURUSD,60min,hour,h17,1,oos,522,0.2240421455940062,0.6515091368929897
EURUSD,60min,hour,h18,1,is,622,0.3769292604501884,0.8372824050696744
EURUSD,60min,hour,h18,1,oos,522,0.08639846743290784,0.2195493951103825
EURUSD,60min,hour,h19,1,is,622,0.4151929260450105,1.1139805469682489
EURUSD,60min,hour,h19,1,oos,522,-0.3202107279693621,-0.9577472610973391
EURUSD,60min,hour,h20,1,is,622,0.0023311897106012497,0.009511771940677396
EURUSD,60min,hour,h20,1,oos,522,0.4238505747125789,1.2860496748625858
EURUSD,60min,hour,h21,1,is,622,0.04413183279743828,0.1499486651977849
EURUSD,60min,hour,h21,1,oos,522,0.3129310344828223,0.8247972592053344
EURUSD,60min,hour,h22,1,is,622,-0.04332797427646491,-0.2433585266419728
EURUSD,60min,hour,h22,1,oos,522,0.7310344827586712,3.044261900135267
EURUSD,60min,hour,h23,1,is,622,0.3858520900321296,1.76948758051292
EURUSD,60min,hour,h23,1,oos,522,0.08563218390802423,0.2840216333366002
EURUSD,60min,dow,dow0,1,is,2473,0.07551556813586868,0.3490812974699553
EURUSD,60min,dow,dow0,1,oos,2088,0.08081896551724443,0.37327406215122855
EURUSD,60min,dow,dow1,1,is,2496,-0.08958333333333754,-0.3697647251339507
EURUSD,60min,dow,dow1,1,oos,2088,-0.08625478927203736,-0.4450575638541474
EURUSD,60min,dow,dow2,1,is,2496,0.35164262820513764,1.4359694039499173
EURUSD,60min,dow,dow2,1,oos,2088,0.05545977011494634,0.2382097942700507
EURUSD,60min,dow,dow3,1,is,2473,-0.19361099878689958,-0.7249518337121187
EURUSD,60min,dow,dow3,1,oos,2088,0.18520114942528412,0.8307894971326442
EURUSD,60min,dow,dow4,1,is,2496,-0.18379407051282637,-0.7644974806960372
EURUSD,60min,dow,dow4,1,oos,2088,0.04377394636014968,0.18461649772416808
EURUSD,60min,vol,vol_low,1,is,4815,0.07436137071651362,0.9114600128646257
EURUSD,60min,vol,vol_low,1,oos,4195,-0.08032181168057428,-1.0086994810374703
EURUSD,60min,vol,vol_mid,1,is,4736,-0.1560071790540573,-1.0238553383299813
EURUSD,60min,vol,vol_mid,1,oos,4069,-0.01108380437452726,-0.08581109783169118
EURUSD,60min,vol,vol_high,1,is,4985,0.05351053159478501,0.24662094619929886
EURUSD,60min,vol,vol_high,1,oos,4351,0.23764651804182005,1.2073658177439057
EURUSD,60min,z50,z<-2,1,is,1091,0.25788267644361773,0.6541409800315041
EURUSD,60min,z50,z<-2,1,oos,899,0.49666295884316,1.3667929867772948
EURUSD,60min,z50,z-2..-1,1,is,2730,0.10170329670331639,0.4887135655759334
EURUSD,60min,z50,z-2..-1,1,oos,2299,0.33329708568941546,1.7511062234081205
EURUSD,60min,z50,z-1..1,1,is,7267,-0.02751479289941515,-0.22527859667164954
EURUSD,60min,z50,z-1..1,1,oos,6179,-0.09593785402168743,-0.8755300029911981
EURUSD,60min,z50,z1..2,1,is,2720,-0.23829044117645826,-1.064201817581233
EURUSD,60min,z50,z1..2,1,oos,2348,-0.057708688245299886,-0.28890464312286457
EURUSD,60min,z50,z>2,1,is,1178,0.01833616298809612,0.04781780142250707
EURUSD,60min,z50,z>2,1,oos,890,0.18820224719101425,0.4404534724751311
EURUSD,60min,mom4,mom4-,1,is,6394,0.17019862370973698,1.1264486338736783
EURUSD,60min,mom4,mom4-,1,oos,5182,0.16201273639521468,1.1595733689541563
EURUSD,60min,mom4,mom4+,1,is,6398,-0.19820256330104158,-1.3353013673654293
EURUSD,60min,mom4,mom4+,1,oos,5525,0.01745701357465803,0.12936003928984136
EURUSD,60min,mom24,mom24-,1,is,7473,0.008537401311390113,0.06788925259530151
EURUSD,60min,mom24,mom24-,1,oos,6270,0.05986443381179882,0.5228924572205825
EURUSD,60min,mom24,mom24+,1,is,7403,-0.03137241658787221,-0.2375336364367973
EURUSD,60min,mom24,mom24+,1,oos,6211,0.08262759620029268,0.682698662671345
EURUSD,60min,hour,h00,2,is,729,-0.4163237311385915,-1.1505271435149522
