sym,cond,h,win,n,mean,t,tf
EURUSD,asia_break_up,1,is,334,0.4936756815285963,1.556678369044745,15min
EURUSD,asia_break_up,1,oos,160,0.07827778703533309,0.20818778723300185,15min
EURUSD,asia_break_up,2,is,334,0.14543519539253766,0.3356476943983572,15min
EURUSD,asia_break_up,2,oos,160,0.3643471921346132,0.6432958942870879,15min
EURUSD,asia_break_up,4,is,334,0.026948235096358672,0.04499444868821141,15min
EURUSD,asia_break_up,4,oos,160,1.1962977003831057,1.3718688697474277,15min
EURUSD,asia_break_up,8,is,334,-0.7465526316040274,-0.8445652935790373,15min
EURUSD,asia_break_up,8,oos,160,1.0103354649223193,0.8617516302671842,15min
EURUSD,asia_break_up,12,is,334,-0.9028379294420099,-0.8155055349003987,15min
EURUSD,asia_break_up,12,oos,160,1.496628843109367,1.1614426239867401,15min
EURUSD,asia_break_up,24,is,334,-2.4836698708601483,-1.4430929975053524,15min
EURUSD,asia_break_up,24,oos,160,1.9865975983168713,1.0114513246515378,15min
EURUSD,asia_break_dn,1,is,296,-0.5752422259000163,-1.239656310526443,15min
EURUSD,asia_break_dn,1,oos,195,-0.09338887963104311,-0.2894275699693992,15min
EURUSD,asia_break_dn,2,is,296,-0.05538310044831072,-0.10369672929561931,15min
EURUSD,asia_break_dn,2,oos,195,-0.16084511555750944,-0.3718416146617343,15min
EURUSD,asia_break_dn,4,is,296,-0.18069863332912936,-0.244183632010477,15min
EURUSD,asia_break_dn,4,oos,195,-0.5669715303858035,-0.8747075625469467,15min
EURUSD,asia_break_dn,8,is,296,-0.07862699638807197,-0.09011453963183341,15min
EURUSD,asia_break_dn,8,oos,195,0.3141335418456133,0.32135171241803206,15min
EURUSD,asia_break_dn,12,is,296,-0.6529067107982354,-0.582478557737675,15min
EURUSD,asia_break_dn,12,oos,195,0.5086080097762681,0.4615279014993742,15min
EURUSD,asia_break_dn,24,is,296,0.7316865784034416,0.4225538123204639,15min
EURUSD,asia_break_dn,24,oos,195,0.2727434316503764,0.1631460766369821,15min
