pair,dir,t_in,t_out,entry,sl,tp,exit,reason,lots,risk_pct,risk_usd,pips,pnl,spread_cost,slip_cost,commission,equity_at_entry,hold_h
USDJPY,1,2024-01-02 00:01:00+00:00,2024-01-02 00:20:00+00:00,141.1405,141.07989048833818,141.26171902332362,141.26171902332362,TP,0.11,2.361847337510863,5.0,12.121902332361856,8.677389350043425,0.7793652424357289,0.31174609697429156,0.77,200.0,0.31666666666666665
EURUSD,-1,2024-01-02 00:21:00+00:00,2024-01-02 00:21:00+00:00,1.10351,1.1036887837099125,1.103152432580175,1.1037087837099124,SL,0.29,2.4845660584566587,5.216934733751086,-1.9878370991244232,-7.794727587460827,2.9,1.16,2.03,208.67738935004343,0.0
USDCHF,1,2024-01-02 00:27:00+00:00,2024-01-02 01:05:00+00:00,0.8424550000000001,0.8420804974489796,0.8432040051020409,0.8420604974489796,SL,0.11,2.4342114394436907,5.022066544064565,-3.9450255102047027,-5.92105027713667,1.501563881750775,0.5222830893044733,0.77,200.8826617625826,0.6333333333333333
GBPUSD,-1,2024-01-02 01:57:00+00:00,2024-01-02 02:00:00+00:00,1.2721000000000002,1.272447639525198,1.2714047209496047,1.272467639525198,SL,0.14,2.4963649590744446,4.874040287136149,-3.6763952519769383,-6.126953352767715,1.5399999999992862,0.5600000000000002,0.9800000000000001,194.96161148544593,0.05
GBPUSD,-1,2024-01-02 03:01:00+00:00,2024-01-02 03:09:00+00:00,1.2709350000000001,1.2715337555089716,1.269737488982057,1.2715537555089715,SL,0.07,2.219554717469363,4.7208664533169555,-6.187555089713914,-4.821288562799741,0.7000000000000002,0.2800000000000001,0.49000000000000005,188.83465813267821,0.13333333333333333
EURUSD,-1,2024-01-02 03:03:00+00:00,2024-01-02 03:09:00+00:00,1.1017649999999999,1.102228788378527,1.1008374232429459,1.1022487883785268,SL,0.1,2.4560553825935987,4.7208664533169555,-4.83788378526917,-5.5378837852691705,1.0,0.4,0.7000000000000001,188.83465813267821,0.1
AUDUSD,1,2024-01-02 04:25:00+00:00,2024-01-02 05:45:00+00:00,0.6819700000000001,0.6813595158141219,0.6831909683717563,0.6831909683717563,TP,0.07,2.3943844625833566,4.461887144615233,12.209683717562259,8.056778602293583,0.7000000000000002,0.2800000000000001,0.49000000000000005,178.4754857846093,1.3333333333333333
EURUSD,-1,2024-01-02 10:05:00+00:00,2024-01-02 11:17:00+00:00,1.101015,1.1022730712337805,1.098498857532439,1.098498857532439,TP,0.03,2.023357038926536,4.6633066096725715,25.161424675610444,7.338427402683133,0.3,0.12,0.21,186.53226438690288,1.2
USDCAD,1,2024-01-02 12:01:00+00:00,2024-01-02 13:19:00+00:00,1.32723,1.3257813687796023,1.3301272624407954,1.3301272624407954,TP,0.04,2.251953830456984,4.84676729473965,28.972624407954672,8.451756939778239,0.39179343444640197,0.12055182598343922,0.28,193.870691789586,1.3
GBPUSD,-1,2024-01-03 10:01:00+00:00,2024-01-03 15:00:00+00:00,1.262455,1.2645161192373175,1.2583327615253652,1.2645361192373175,SL,0.02,2.0374597581848066,5.058061218234107,-20.811192373173526,-4.302238474634705,0.20999999999983246,0.08000000000000002,0.14,202.32244872936425,4.983333333333333
