fast,slow,pull,sl_atr,tp_r,n,R,win,pf,is_n,is_R,is_pf,oos_n,oos_R,oos_pf
50,100,20,2.0,3.0,1375,-0.0652,23.56,0.861,858,-0.0521,0.882,515,-0.0847,0.821
50,100,50,2.0,3.0,1249,-0.0788,23.22,0.854,757,-0.0353,0.915,490,-0.1435,0.75
20,100,20,2.0,2.5,1668,-0.0819,26.44,0.832,1035,-0.0675,0.845,628,-0.1004,0.81
20,100,20,2.0,2.0,1919,-0.0862,30.69,0.821,1190,-0.0619,0.849,724,-0.1216,0.773
20,100,50,2.0,1.5,1943,-0.0926,36.54,0.803,1244,-0.0497,0.862,694,-0.1647,0.691
20,100,20,2.0,3.0,1461,-0.0932,22.86,0.833,914,-0.0978,0.829,542,-0.0794,0.846
20,100,50,2.0,3.0,1296,-0.0965,22.76,0.81,794,-0.0604,0.865,497,-0.1476,0.715
50,200,20,2.0,2.0,1847,-0.0977,30.32,0.819,1154,-0.0794,0.845,688,-0.1275,0.771
50,100,20,2.0,2.0,1807,-0.0991,30.27,0.812,1129,-0.0558,0.86,676,-0.1696,0.725
50,100,20,2.0,2.5,1617,-0.1009,25.91,0.821,1012,-0.0671,0.853,603,-0.1557,0.762
50,200,20,2.0,2.5,1621,-0.1033,25.85,0.809,1016,-0.1123,0.793,600,-0.0869,0.841
50,200,50,2.0,3.0,1318,-0.1039,22.61,0.832,798,-0.0704,0.884,515,-0.1546,0.741
50,100,50,2.0,1.5,1876,-0.107,35.98,0.787,1184,-0.0668,0.844,690,-0.1743,0.683
50,100,50,2.0,2.0,1608,-0.1096,29.91,0.802,1009,-0.0704,0.85,597,-0.174,0.713
50,100,20,2.0,1.5,2152,-0.1101,35.87,0.787,1362,-0.0836,0.823,788,-0.1546,0.721
50,200,50,2.0,1.5,1996,-0.111,35.82,0.781,1249,-0.0819,0.823,741,-0.1573,0.706
20,100,20,2.0,1.5,2261,-0.1112,35.82,0.789,1418,-0.0884,0.827,838,-0.1459,0.722
50,100,50,2.0,2.5,1425,-0.1183,25.4,0.799,873,-0.0854,0.838,550,-0.1686,0.729
50,200,20,2.0,1.5,2218,-0.1198,35.48,0.773,1402,-0.1101,0.786,810,-0.1341,0.748
50,200,50,2.0,2.5,1508,-0.1212,25.33,0.798,911,-0.0971,0.83,592,-0.1572,0.743
20,100,50,2.0,2.5,1471,-0.1218,25.29,0.777,908,-0.0822,0.822,558,-0.1807,0.697
50,200,50,2.0,2.0,1718,-0.1236,29.45,0.79,1073,-0.0791,0.844,640,-0.1974,0.692
20,100,50,1.5,2.0,2389,-0.1246,29.51,0.777,1536,-0.088,0.822,848,-0.1872,0.689
20,100,50,1.5,1.5,2750,-0.1248,35.38,0.749,1746,-0.1058,0.776,999,-0.1547,0.698
20,100,50,2.0,2.0,1663,-0.1263,29.34,0.769,1047,-0.0929,0.809,611,-0.1784,0.696
50,200,20,2.0,3.0,1429,-0.1268,22.04,0.801,894,-0.1268,0.807,530,-0.1259,0.789
20,100,50,1.5,3.0,1952,-0.1276,22.08,0.779,1262,-0.1013,0.811,685,-0.1711,0.72
20,100,50,1.5,2.5,2139,-0.13,25.15,0.775,1370,-0.0932,0.821,764,-0.1918,0.688
20,100,20,1.5,3.0,2340,-0.1313,22.01,0.798,1517,-0.1259,0.811,817,-0.1361,0.777
20,100,20,1.5,2.5,2552,-0.1319,25.12,0.777,1612,-0.1163,0.798,934,-0.1543,0.742
20,100,20,1.5,2.0,2876,-0.1354,29.17,0.761,1816,-0.1183,0.783,1054,-0.1609,0.722
50,100,50,1.5,1.5,2663,-0.1356,34.96,0.736,1679,-0.1145,0.759,982,-0.1706,0.694
50,100,50,1.5,2.0,2311,-0.1366,29.12,0.763,1471,-0.0962,0.806,838,-0.2061,0.681
50,100,50,1.5,3.0,1903,-0.1367,21.86,0.77,1229,-0.0998,0.807,672,-0.2026,0.697
20,100,20,1.5,1.5,3336,-0.1391,34.83,0.734,2096,-0.1223,0.756,1234,-0.1643,0.695
50,200,50,1.5,1.5,2845,-0.1449,34.59,0.734,1760,-0.1115,0.778,1077,-0.1959,0.659
50,100,20,1.5,2.0,2745,-0.1452,28.85,0.746,1723,-0.1172,0.778,1020,-0.1914,0.687
50,100,50,1.5,2.5,2075,-0.1488,24.63,0.759,1333,-0.1046,0.807,740,-0.2268,0.667
50,100,20,1.5,2.5,2438,-0.1512,24.57,0.755,1533,-0.1181,0.79,903,-0.2062,0.69
50,200,50,1.5,2.0,2472,-0.1523,28.6,0.755,1542,-0.1132,0.805,923,-0.2152,0.667
50,100,20,1.5,1.5,3164,-0.1528,34.29,0.708,1985,-0.1332,0.732,1177,-0.1849,0.666
50,200,20,1.5,3.0,2295,-0.1545,21.44,0.769,1450,-0.1431,0.789,839,-0.1734,0.732
50,100,20,1.5,3.0,2255,-0.1569,21.37,0.765,1443,-0.1191,0.802,810,-0.2228,0.695
50,200,20,1.5,1.5,3306,-0.1578,34.09,0.71,2046,-0.1448,0.725,1252,-0.1763,0.683
50,200,50,1.5,2.5,2224,-0.1594,24.33,0.764,1397,-0.1013,0.833,821,-0.2574,0.64
50,200,20,1.5,2.0,2856,-0.1611,28.33,0.737,1783,-0.1391,0.759,1066,-0.1958,0.695
50,200,50,1.5,3.0,2038,-0.1635,21.2,0.759,1280,-0.1206,0.804,752,-0.2358,0.675
50,200,20,1.5,2.5,2525,-0.1782,23.8,0.726,1592,-0.1627,0.747,927,-0.2041,0.688
20,100,20,1.0,3.0,3814,-0.2041,20.37,0.717,2401,-0.1803,0.742,1406,-0.2411,0.672
50,200,50,1.0,1.5,4094,-0.2078,32.32,0.68,2577,-0.1858,0.712,1508,-0.2428,0.622
20,100,50,1.0,1.5,3923,-0.2146,32.04,0.665,2503,-0.183,0.715,1414,-0.2675,0.575
20,100,20,1.0,1.5,4888,-0.217,31.98,0.652,3098,-0.1967,0.679,1783,-0.2494,0.602
50,200,20,1.0,1.5,4844,-0.2196,31.87,0.659,3035,-0.2046,0.676,1800,-0.2426,0.627
50,100,20,1.0,3.0,3645,-0.2225,19.92,0.694,2293,-0.1932,0.725,1349,-0.2706,0.638
50,100,20,1.0,1.5,4643,-0.2244,31.68,0.646,2947,-0.2083,0.671,1693,-0.2514,0.599
20,100,20,1.0,2.5,4132,-0.2248,22.68,0.686,2611,-0.2015,0.708,1514,-0.2619,0.646
20,100,20,1.0,2.0,4458,-0.225,26.42,0.671,2814,-0.2026,0.698,1637,-0.2605,0.623
50,100,50,1.0,1.5,3759,-0.2264,31.58,0.652,2392,-0.2,0.69,1364,-0.2713,0.581
50,200,50,1.0,2.0,3693,-0.2307,26.21,0.67,2328,-0.2073,0.7,1356,-0.2683,0.615
20,100,50,1.0,2.0,3588,-0.231,26.2,0.667,2294,-0.2069,0.704,1288,-0.2707,0.598
50,100,20,1.0,2.0,4236,-0.2339,26.13,0.655,2683,-0.2177,0.677,1550,-0.2605,0.613
20,100,50,1.0,2.5,3346,-0.2385,22.27,0.68,2141,-0.208,0.715,1199,-0.2897,0.614
50,200,20,1.0,2.0,4375,-0.2401,25.92,0.653,2734,-0.2184,0.676,1632,-0.2746,0.611
20,100,50,1.0,3.0,3127,-0.2419,19.41,0.69,2006,-0.2063,0.732,1115,-0.3025,0.612
50,100,20,1.0,2.5,3919,-0.2453,22.1,0.661,2469,-0.2184,0.69,1447,-0.2898,0.607
50,100,50,1.0,2.0,3438,-0.2458,25.71,0.647,2196,-0.2256,0.675,1239,-0.28,0.593
50,200,20,1.0,3.0,3794,-0.2474,19.29,0.672,2355,-0.2084,0.715,1430,-0.3102,0.594
50,200,50,1.0,2.5,3420,-0.2525,21.87,0.665,2142,-0.2118,0.71,1269,-0.3189,0.583
50,200,50,1.0,3.0,3225,-0.2569,19.04,0.678,2019,-0.2117,0.736,1197,-0.3313,0.575
50,100,50,1.0,3.0,3013,-0.2593,18.98,0.671,1923,-0.2297,0.703,1087,-0.3098,0.61
50,100,50,1.0,2.5,3207,-0.2607,21.64,0.652,2042,-0.2358,0.678,1162,-0.3028,0.602
50,200,20,1.0,2.5,4064,-0.2617,21.63,0.643,2533,-0.2305,0.676,1522,-0.312,0.585
