a,b,lb,entry,exit,stop,hold,is_n,is_pf,is_net,is_win,oos_n,oos_pf,oos_net,oos_win
EURUSD,USDCHF,200,1.5,0.0,3.5,240,104,0.549,-277.26,20.2,115,0.701,-110.66,11.3
EURUSD,USDCHF,200,1.5,0.0,3.5,480,87,0.379,-317.78,14.9,102,0.79,-53.98,7.8
EURUSD,USDCHF,200,1.5,0.0,5.0,240,45,0.539,-272.83,37.8,27,0.999,-0.25,37.0
EURUSD,USDCHF,200,1.5,0.0,5.0,480,29,1.337,103.84,44.8,15,1.054,8.44,46.7
EURUSD,USDCHF,200,1.5,0.5,3.5,240,138,0.57,-305.54,25.4,132,0.751,-85.47,16.7
EURUSD,USDCHF,200,1.5,0.5,3.5,480,137,0.554,-316.91,24.8,132,0.751,-85.47,16.7
EURUSD,USDCHF,200,1.5,0.5,5.0,240,77,0.675,-205.03,42.9,40,1.131,31.88,50.0
EURUSD,USDCHF,200,1.5,0.5,5.0,480,76,0.657,-216.4,42.1,40,1.14,33.63,50.0
EURUSD,USDCHF,200,1.5,1.0,3.5,240,142,0.555,-294.82,24.6,132,0.633,-114.9,16.7
EURUSD,USDCHF,200,1.5,1.0,3.5,480,142,0.555,-294.82,24.6,132,0.633,-114.9,16.7
EURUSD,USDCHF,200,1.5,1.0,5.0,240,81,0.67,-194.39,42.0,40,1.02,4.18,50.0
EURUSD,USDCHF,200,1.5,1.0,5.0,480,81,0.67,-194.39,42.0,40,1.02,4.18,50.0
EURUSD,USDCHF,200,2.0,0.0,3.5,240,100,0.624,-201.11,20.0,113,0.735,-90.77,10.6
EURUSD,USDCHF,200,2.0,0.0,3.5,480,87,0.579,-170.78,13.8,101,1.091,18.94,9.9
EURUSD,USDCHF,200,2.0,0.0,5.0,240,42,0.606,-203.27,42.9,24,0.818,-41.58,45.8
EURUSD,USDCHF,200,2.0,0.0,5.0,480,28,0.783,-73.69,32.1,14,1.535,58.3,57.1
EURUSD,USDCHF,200,2.0,0.5,3.5,240,122,0.534,-275.19,21.3,127,0.766,-68.45,15.0
EURUSD,USDCHF,200,2.0,0.5,3.5,480,122,0.528,-278.37,21.3,127,0.766,-68.45,15.0
EURUSD,USDCHF,200,2.0,0.5,5.0,240,61,0.656,-174.73,41.0,35,1.245,48.16,51.4
EURUSD,USDCHF,200,2.0,0.5,5.0,480,61,0.65,-177.91,41.0,35,1.261,50.63,51.4
EURUSD,USDCHF,200,2.0,1.0,3.5,240,126,0.575,-231.54,22.2,127,0.653,-93.07,15.7
EURUSD,USDCHF,200,2.0,1.0,3.5,480,126,0.575,-231.54,22.2,127,0.653,-93.07,15.7
EURUSD,USDCHF,200,2.0,1.0,5.0,240,65,0.723,-131.11,43.1,35,1.155,26.0,54.3
EURUSD,USDCHF,200,2.0,1.0,5.0,480,65,0.723,-131.11,43.1,35,1.155,26.0,54.3
EURUSD,USDCHF,200,2.5,0.0,3.5,240,89,0.927,-16.6,20.2,109,0.611,-114.83,11.0
EURUSD,USDCHF,200,2.5,0.0,3.5,480,83,1.216,54.31,15.7,100,0.522,-115.52,9.0
EURUSD,USDCHF,200,2.5,0.0,5.0,240,30,0.87,-26.74,43.3,19,0.722,-41.53,52.6
EURUSD,USDCHF,200,2.5,0.5,3.5,240,104,0.628,-134.58,18.3,117,0.612,-95.41,12.0
EURUSD,USDCHF,200,2.5,0.5,3.5,480,104,0.628,-134.58,18.3,117,0.612,-95.41,12.0
EURUSD,USDCHF,200,2.5,0.5,5.0,240,43,0.877,-34.09,34.9,25,1.154,23.07,48.0
EURUSD,USDCHF,200,2.5,0.5,5.0,480,43,0.877,-34.09,34.9,25,1.159,23.71,48.0
EURUSD,USDCHF,200,2.5,1.0,3.5,240,105,0.636,-122.73,18.1,117,0.456,-130.21,12.8
EURUSD,USDCHF,200,2.5,1.0,3.5,480,105,0.636,-122.73,18.1,117,0.456,-130.21,12.8
EURUSD,USDCHF,200,2.5,1.0,5.0,240,44,0.915,-22.32,38.6,25,0.921,-11.11,52.0
EURUSD,USDCHF,200,2.5,1.0,5.0,480,44,0.915,-22.32,38.6,25,0.921,-11.11,52.0
EURUSD,USDCHF,200,3.0,0.0,3.5,240,84,1.047,9.13,16.7,107,0.573,-121.61,9.3
EURUSD,USDCHF,200,3.0,0.0,3.5,480,82,1.211,46.33,15.9,99,0.738,-54.98,8.1
EURUSD,USDCHF,200,3.0,0.5,3.5,240,90,0.535,-115.34,13.3,114,0.438,-140.33,7.0
EURUSD,USDCHF,200,3.0,0.5,3.5,480,90,0.535,-115.34,13.3,114,0.438,-140.33,7.0
EURUSD,USDCHF,200,3.0,0.5,5.0,240,29,0.909,-14.98,37.9,22,0.854,-22.72,36.4
EURUSD,USDCHF,200,3.0,0.5,5.0,480,29,0.909,-14.98,37.9,22,0.863,-21.18,36.4
EURUSD,USDCHF,200,3.0,1.0,3.5,240,90,0.647,-72.68,13.3,114,0.362,-156.33,8.8
EURUSD,USDCHF,200,3.0,1.0,3.5,480,90,0.647,-72.68,13.3,114,0.362,-156.33,8.8
EURUSD,USDCHF,200,3.0,1.0,5.0,240,29,1.212,27.72,41.4,22,0.748,-37.19,45.5
EURUSD,USDCHF,200,3.0,1.0,5.0,480,29,1.212,27.72,41.4,22,0.748,-37.19,45.5
EURUSD,USDCHF,300,1.5,0.0,3.5,240,132,1.459,183.28,18.2,115,0.403,-194.3,10.4
EURUSD,USDCHF,300,1.5,0.0,3.5,480,117,0.595,-220.34,11.1,104,0.446,-149.47,7.7
EURUSD,USDCHF,300,1.5,0.0,5.0,240,41,1.274,103.22,46.3,35,0.501,-136.15,37.1
EURUSD,USDCHF,300,1.5,0.0,5.0,480,25,1.204,54.31,44.0,24,0.465,-116.02,25.0
EURUSD,USDCHF,300,1.5,0.5,3.5,240,155,0.799,-99.86,21.9,120,0.59,-112.29,14.2
EURUSD,USDCHF,300,1.5,0.5,3.5,480,154,0.807,-94.62,22.1,117,0.553,-117.04,13.7
EURUSD,USDCHF,300,1.5,0.5,5.0,240,60,0.861,-58.71,46.7,38,0.731,-57.36,39.5
EURUSD,USDCHF,300,1.5,0.5,5.0,480,59,0.882,-48.67,47.5,35,0.694,-61.2,40.0
